timestamp_iso,timestamp_ms,glasses_connected,stream_status,glasses_battery_level,glasses_battery_charging,head_position,mediamtx_ready,mediamtx_encoded_bitrate_bps,mediamtx_delivered_bitrate_bps,mediamtx_bytes_received,mediamtx_bytes_sent,mediamtx_active_readers,startup_delay_ms,mediamtx_ingest_latency_ms,server_processing_ms
2026-04-16T13:41:34.458052,1776364894458,False,idle,,,,False,,,0,0,0,,,141.054
2026-04-16T13:41:36.509113,1776364896509,False,idle,,,,False,0,0,0,0,0,,,50.051
2026-04-16T13:41:38.563130,1776364898563,True,idle,100,False,,False,0,0,0,0,0,,,53.277
2026-04-16T13:41:40.624018,1776364900624,True,idle,100,False,,False,0,0,0,0,0,,,59.046
2026-04-16T13:41:42.684682,1776364902684,True,initializing,100,False,,False,0,0,0,0,0,,,60.005
2026-04-16T13:41:44.742744,1776364904742,True,streaming,100,False,,True,747312,1492163,192252,383871,1,5100,6958,55.424
2026-04-16T13:41:46.794889,1776364906794,True,streaming,100,False,,True,1089343,2209675,471688,950692,2,5100,6958,51.484
2026-04-16T13:41:48.853364,1776364908853,True,streaming,100,False,,True,1048314,3144943,741429,1759915,2,5100,6958,55.103
2026-04-16T13:41:51.001220,1776364911001,True,streaming,100,False,,True,1043991,3131972,1021722,2600794,2,5100,6958,145.995
2026-04-16T13:41:53.063634,1776364913063,True,streaming,100,False,,True,1042813,3128440,1290561,3407311,2,5100,6958,60.533
2026-04-16T13:41:55.117949,1776364915117,True,streaming,100,False,,True,1054498,3163495,1561345,4219663,2,5100,6958,52.991
2026-04-16T13:41:57.171204,1776364917171,True,streaming,100,False,,True,1016977,3050930,1822359,5002705,2,5100,6958,52.217
2026-04-16T13:41:59.225282,1776364919225,True,streaming,100,False,,True,1071535,3214605,2097486,5828086,2,5100,6958,52.140
2026-04-16T13:42:01.278321,1776364921278,True,streaming,100,False,,True,1048276,3144829,2366505,6635143,2,5100,6958,50.650
2026-04-16T13:42:03.332567,1776364923332,True,streaming,100,False,,True,1063007,3189022,2639465,7454023,2,5100,6958,52.766
2026-04-16T13:42:05.427903,1776364925427,True,streaming,100,False,,True,1064298,3192895,2918222,8290294,2,5100,6958,92.967
2026-04-16T13:42:07.543176,1776364927543,True,streaming,100,False,,True,1029187,3087560,3190349,9106675,2,5100,6958,113.083
2026-04-16T13:42:09.598169,1776364929598,True,streaming,100,False,,True,1049463,3148390,3459929,9915415,2,5100,6958,52.722
2026-04-16T13:42:11.653246,1776364931653,True,streaming,100,False,,True,1064113,3192340,3733283,10735477,2,5100,6958,53.732
2026-04-16T13:42:13.709228,1776364933709,True,streaming,100,False,,True,1094899,3284698,4014670,11579638,2,5100,6958,53.371
2026-04-16T13:42:15.760715,1776364935760,True,streaming,100,False,,True,1092321,3276962,4294780,12419968,2,5100,6958,49.228
2026-04-16T13:42:17.819631,1776364937819,True,streaming,100,False,,True,1002488,3007465,4552785,13193983,2,5100,6958,56.551
2026-04-16T13:42:20.023288,1776364940023,True,streaming,100,False,,True,1049450,3148350,4841863,14061217,2,5100,6958,201.260
2026-04-16T13:42:22.103087,1776364942103,True,streaming,100,False,,True,1052257,3156772,5115424,14881900,2,5100,6958,77.999
2026-04-16T13:42:24.154888,1776364944154,True,streaming,100,False,,True,1062458,3187373,5387918,15699382,2,5100,6958,49.604
2026-04-16T13:42:26.210231,1776364946210,True,streaming,100,False,,True,1070198,3210595,5662871,16524241,2,5100,6958,53.058
2026-04-16T13:42:28.264732,1776364948264,True,streaming,100,False,,True,1050018,3150055,5932529,17333215,2,5100,6958,52.611
2026-04-16T13:42:30.318156,1776364950318,True,streaming,100,False,,True,1056355,3169065,6203672,18146644,2,5100,6958,52.177
2026-04-16T13:42:32.371171,1776364952371,True,streaming,100,False,,True,1054694,3164083,6474335,18958633,2,5100,6958,52.117
2026-04-16T13:42:34.452404,1776364954452,True,streaming,100,False,,True,1056581,3169742,6749209,19783255,2,5100,6958,79.588
2026-04-16T13:42:36.504475,1776364956504,True,streaming,100,False,,True,1048210,3144629,7018084,20589880,2,5100,6958,51.262
2026-04-16T13:42:38.556607,1776364958556,True,streaming,100,False,,True,1059449,3178347,7289850,21405178,2,5100,6958,49.861
2026-04-16T13:42:40.609312,1776364960609,True,streaming,100,False,,True,1093452,3280356,7570417,22246879,2,5100,6958,51.307
2026-04-16T13:42:42.661496,1776364962661,True,streaming,100,False,,True,1038395,3115184,7836789,23045995,2,5100,6958,50.538
2026-04-16T13:42:44.715251,1776364964715,True,streaming,100,False,,True,1055269,3165808,8107697,23858719,2,5100,6958,51.457
