timestamp_iso,timestamp_ms,glasses_connected,stream_status,glasses_battery_level,glasses_battery_charging,head_position,mediamtx_ready,mediamtx_encoded_bitrate_bps,mediamtx_delivered_bitrate_bps,mediamtx_bytes_received,mediamtx_bytes_sent,mediamtx_active_readers,startup_delay_ms,mediamtx_ingest_latency_ms,server_processing_ms
2026-04-15T18:05:15.160069,1776294315160,False,idle,,,,True,,,29069990,58139327,1,,,53.754
2026-04-15T18:05:17.215776,1776294317215,False,idle,,,,True,1069309,2138618,29344762,58688871,1,,,53.219
2026-04-15T18:05:19.273239,1776294319273,True,stopped,,,,True,407188,814376,29449484,58898315,1,,1566,55.794
2026-04-15T18:05:21.349890,1776294321349,True,streaming,,,,True,0,0,60627,120608,1,2820,1566,75.832
2026-04-15T18:05:23.404268,1776294323404,True,streaming,,,,True,1123595,2247190,349163,697680,1,2820,1566,52.213
2026-04-15T18:05:25.457502,1776294325457,True,streaming,,,,True,1058062,2116124,620719,1240792,1,2820,1566,52.194
2026-04-15T18:05:27.512371,1776294327512,True,streaming,,,,True,1050558,2101117,890564,1780482,1,2820,1566,52.309
2026-04-15T18:05:29.566439,1776294329566,True,streaming,,,,True,1042107,2084215,1158134,2315622,1,2820,1566,52.428
2026-04-15T18:05:31.620712,1776294331620,True,streaming,,,,True,1070144,2140288,1432930,2865214,1,2820,1566,51.721
2026-04-15T18:05:33.674368,1776294333674,True,streaming,,,,True,1046387,2092774,1701545,3402444,1,2820,1566,51.254
2026-04-15T18:05:35.776316,1776294335776,True,streaming,,,,True,1059502,2119003,1979922,3959198,1,2820,1566,100.426
2026-04-15T18:05:37.830718,1776294337830,True,streaming,,,,True,1046847,2093695,2248752,4496858,1,2820,1566,52.078
2026-04-15T18:05:39.886165,1776294339886,True,streaming,,,,True,1057432,2114863,2520439,5040232,1,2820,1566,54.398
2026-04-15T18:05:41.939699,1776294341939,True,streaming,,,,True,1056873,2113745,2791730,5582814,1,2820,1566,51.175
2026-04-15T18:05:43.994260,1776294343994,True,streaming,,,,True,1048220,2096440,3060934,6121222,1,2820,1566,52.186
2026-04-15T18:05:46.047595,1776294346047,True,streaming,,,,True,1049770,2862447,3330375,6855917,2,2820,1566,50.886
2026-04-15T18:05:48.101301,1776294348101,True,streaming,,,,True,1063656,3190967,3603429,7675079,2,2820,1566,51.360
2026-04-15T18:05:50.175275,1776294350175,True,streaming,,,,True,1036810,3110429,3872219,8481449,2,2820,1566,73.040
2026-04-15T18:05:52.273364,1776294352273,True,streaming,,,,True,1078722,3236167,4155126,9330170,2,2820,1566,95.819
2026-04-15T18:05:54.325979,1776294354325,True,streaming,,,,True,970037,2910110,4404015,10076837,2,2820,1566,51.000
2026-04-15T18:05:56.382219,1776294356382,True,streaming,,,,True,1067600,3202799,4678420,10900052,2,2820,1566,52.289
2026-04-15T18:05:58.434774,1776294358434,True,streaming,,,,True,1056524,3169573,4949492,11713268,2,2820,1566,50.288
2026-04-15T18:06:00.486568,1776294360486,True,streaming,,,,True,1087189,3261567,5228328,12549776,2,2820,1566,50.449
2026-04-15T18:06:02.537000,1776294362536,True,streaming,,,,True,1058419,3175257,5499605,13363607,2,2820,1566,49.834
2026-04-15T18:06:04.681002,1776294364680,True,streaming,,,,True,1045268,3135805,5779737,14204003,2,2820,1566,141.714
2026-04-15T18:06:06.761547,1776294366761,True,streaming,,,,True,1037156,3111467,6049468,15013196,2,2820,1566,78.195
