timestamp_iso,timestamp_ms,glasses_connected,stream_status,glasses_battery_level,glasses_battery_charging,head_position,mediamtx_ready,mediamtx_encoded_bitrate_bps,mediamtx_delivered_bitrate_bps,mediamtx_bytes_received,mediamtx_bytes_sent,mediamtx_active_readers,startup_delay_ms,mediamtx_ingest_latency_ms,server_processing_ms
2026-04-21T10:25:28.679326,1776785128679,False,idle,,,,False,,,0,0,0,,,56.211
2026-04-21T10:25:30.737361,1776785130737,False,idle,,,,False,0,0,0,0,0,,,55.542
2026-04-21T10:25:32.790990,1776785132790,True,idle,,,,False,0,0,0,0,0,,,51.351
2026-04-21T10:25:34.931163,1776785134931,True,streaming,,,,True,2400,2400,642,642,1,3423,3862,138.978
2026-04-21T10:25:36.989733,1776785136989,True,streaming,,,,True,1136006,2272011,292960,585278,1,3423,3862,56.185
2026-04-21T10:25:39.048837,1776785139048,True,streaming,,,,True,1054570,2109141,564394,1128146,1,3423,3862,57.448
2026-04-21T10:25:41.121363,1776785141121,True,streaming,,,,True,1070079,2140158,841614,1682586,1,3423,3862,70.096
2026-04-21T10:25:43.183000,1776785143182,True,streaming,,,,True,1057933,2115866,1114249,2227856,1,3423,3862,59.740
2026-04-21T10:25:45.244360,1776785145244,True,streaming,,,,True,1028781,2385935,1379335,2842640,2,3423,3862,58.941
2026-04-21T10:25:47.303578,1776785147303,True,streaming,,,,True,1064746,3194239,1653403,3664844,2,3423,3862,57.077
2026-04-21T10:25:49.468226,1776785149468,True,streaming,,,,True,1067714,3203141,1942306,4531553,2,3423,3862,163.236
2026-04-21T10:25:51.570159,1776785151570,True,streaming,,,,True,1007427,3022280,2206999,5325632,2,3423,3862,99.988
2026-04-21T10:25:53.628235,1776785153628,True,streaming,,,,True,1007931,3023794,2466299,6103532,2,3423,3862,57.232
2026-04-21T10:25:55.679789,1776785155679,True,streaming,,,,True,1080707,3242122,2743440,6934955,2,3423,3862,49.597
2026-04-21T10:25:57.734645,1776785157734,True,streaming,,,,True,1055381,3166143,3014522,7748201,2,3423,3862,52.410
2026-04-21T10:25:59.788380,1776785159788,True,streaming,,,,True,1027256,3081767,3278236,8539343,2,3423,3862,51.420
2026-04-21T10:26:01.847128,1776785161847,True,streaming,,,,True,1075830,2476717,3555094,9176710,1,3423,3862,56.591
2026-04-21T10:26:03.905259,1776785163905,True,streaming,,,,True,1057703,2115406,3827205,9720932,1,3423,3862,56.421
2026-04-21T10:26:06.079874,1776785166079,True,streaming,,,,True,1035880,2071760,4108785,10284092,1,3423,3862,172.197
2026-04-21T10:26:08.136075,1776785168136,True,streaming,,,,True,1077256,2154511,4385667,10837856,1,3423,3862,55.409
2026-04-21T10:26:10.192098,1776785170192,True,streaming,,,,True,1043573,2087146,4653868,11374258,1,3423,3862,53.364
2026-04-21T10:26:12.263530,1776785172263,True,streaming,,,,True,1070561,2141121,4931067,11928656,1,3423,3862,68.957
