timestamp_iso,timestamp_ms,glasses_connected,stream_status,glasses_battery_level,glasses_battery_charging,head_position,mediamtx_ready,mediamtx_encoded_bitrate_bps,mediamtx_delivered_bitrate_bps,mediamtx_bytes_received,mediamtx_bytes_sent,mediamtx_active_readers,startup_delay_ms,mediamtx_ingest_latency_ms,server_processing_ms
2026-04-15T17:52:15.522186,1776293535522,False,idle,,,,False,,,0,0,0,,,53.831
2026-04-15T17:52:17.578068,1776293537578,False,idle,,,,False,0,0,0,0,0,,,53.258
2026-04-15T17:52:19.741918,1776293539741,False,idle,,,,False,0,0,0,0,0,,,162.164
2026-04-15T17:52:21.821302,1776293541821,False,idle,,,,False,0,0,0,0,0,,,76.879
2026-04-15T17:52:23.877530,1776293543877,False,idle,,,,False,0,0,0,0,0,,,53.913
2026-04-15T17:52:25.930841,1776293545930,False,idle,,,,False,0,0,0,0,0,,,52.649
2026-04-15T17:52:27.983791,1776293547983,False,idle,92,False,,False,0,0,0,0,0,,,51.705
2026-04-15T17:52:30.040804,1776293550040,False,idle,92,False,,False,0,0,0,0,0,,,54.397
2026-04-15T17:52:32.095883,1776293552095,False,idle,,,,False,0,0,0,0,0,,,52.585
2026-04-15T17:52:34.150839,1776293554150,False,idle,,,,False,0,0,0,0,0,,,52.443
2026-04-15T17:52:36.212848,1776293556212,False,idle,,,,False,0,0,0,0,0,,,61.333
2026-04-15T17:52:38.266234,1776293558266,False,idle,,,,False,0,0,0,0,0,,,50.634
2026-04-15T17:52:40.324216,1776293560324,False,idle,,,,False,0,0,0,0,0,,,55.540
2026-04-15T17:52:42.380245,1776293562380,False,idle,,,,False,0,0,0,0,0,,,52.160
2026-04-15T17:52:44.436396,1776293564436,False,idle,,,,False,0,0,0,0,0,,,53.808
2026-04-15T17:52:46.491488,1776293566491,False,idle,,,,False,0,0,0,0,0,,,52.262
2026-04-15T17:52:48.550639,1776293568550,False,idle,,,,False,0,0,0,0,0,,,56.741
2026-04-15T17:52:50.661121,1776293570661,False,idle,,,,False,0,0,0,0,0,,,109.148
2026-04-15T17:52:52.712357,1776293572712,False,idle,,,,False,0,0,0,0,0,,,48.999
2026-04-15T17:52:54.772000,1776293574771,False,idle,,,,False,0,0,0,0,0,,,57.017
2026-04-15T17:52:56.825518,1776293576825,False,idle,,,,False,0,0,0,0,0,,,51.203
2026-04-15T17:52:58.882460,1776293578882,False,idle,,,,False,0,0,0,0,0,,,54.577
2026-04-15T17:53:00.939370,1776293580939,False,idle,,,,False,0,0,0,0,0,,,54.580
2026-04-15T17:53:02.996513,1776293582996,False,idle,,,,False,0,0,0,0,0,,,53.968
2026-04-15T17:53:05.187062,1776293585187,False,idle,,,,False,0,0,0,0,0,,,188.102
2026-04-15T17:53:07.263744,1776293587263,False,idle,,,,False,0,0,0,0,0,,,75.674
2026-04-15T17:53:09.317318,1776293589317,False,idle,,,,False,0,0,0,0,0,,,52.010
2026-04-15T17:53:11.367783,1776293591367,False,idle,,,,False,0,0,0,0,0,,,49.702
2026-04-15T17:53:13.420448,1776293593420,False,idle,,,,False,0,0,0,0,0,,,51.279
2026-04-15T17:53:15.475383,1776293595475,False,idle,,,,False,0,0,0,0,0,,,52.591
2026-04-15T17:53:17.528949,1776293597528,False,idle,,,,False,0,0,0,0,0,,,51.453
2026-04-15T17:53:19.749600,1776293599749,False,idle,,,,False,0,0,0,0,0,,,218.346
2026-04-15T17:53:21.827312,1776293601827,False,idle,,,,False,0,0,0,0,0,,,76.354
2026-04-15T17:53:23.884740,1776293603884,False,idle,,,,False,0,0,0,0,0,,,55.770
2026-04-15T17:53:25.940068,1776293605940,False,idle,,,,False,0,0,0,0,0,,,52.904
2026-04-15T17:53:27.993635,1776293607993,False,idle,,,,False,0,0,0,0,0,,,50.399
2026-04-15T17:53:30.047606,1776293610047,False,idle,,,,False,0,0,0,0,0,,,51.512
2026-04-15T17:53:32.101318,1776293612101,False,idle,,,,False,0,0,0,0,0,,,51.298
2026-04-15T17:53:34.155839,1776293614155,False,idle,,,,False,0,0,0,0,0,,,52.174
2026-04-15T17:53:36.220348,1776293616220,False,idle,,,,False,0,0,0,0,0,,,62.392
2026-04-15T17:53:38.274607,1776293618274,False,idle,,,,False,0,0,0,0,0,,,52.534
2026-04-15T17:53:40.329352,1776293620329,False,idle,,,,False,0,0,0,0,0,,,52.356
